County,State,FIPS,pov 1a0c,pov 1a1c,pov 1a2c,pov 1a3c,pov 2a1w0c,pov 2a1w1c,pov 2a1w2c,pov 2a1w3c,pov 2a2w0c,pov 2a2w1c,pov 2a2w2c,pov 2a2w3c,live 1a0c,live 1a1c,live 1a2c,live 1a3c,live 2a1w0c,live 2a1w1c,live 2a1w2c,live 2a1w3c,live 2a2w0c,live 2a2w1c,live 2a2w2c,live 2a2w3c,min 1a0c,min 1a1c,min 1a2c,min 1a3c,min 2a1w0c,min 2a1w1c,min 2a1w2c,min 2a1w3c,min 2a2w0c,min 2a2w1c,min 2a2w2c,min 2a2w3c,pct_less_hs,pct_hs,pct_some_college,pct_college,crime_per_10k,unemployment_rate_2019,median_household_income_2019
Alpena County,MI,26007,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.89,$27.23,$35.09,$46.19,$21.47,$24.76,$28.38,$30.66,$10.74,$15.00,$19.43,$23.19,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,8.1,33.7,40.2,18,244.78,4.6,43676
Alcona County,MI,26007,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.57,$25.64,$31.90,$40.98,$21.57,$24.76,$28.38,$30.23,$10.79,$14.20,$17.84,$20.58,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,8.1,33.7,40.2,18,244.78,4.6,43676
Antrim County,MI,26009,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.55,$29.21,$39.05,$51.85,$21.44,$24.76,$28.38,$30.38,$10.72,$15.99,$21.41,$26.02,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,8.3,31.5,31.3,28.8,100.04,5,58317
Arenac County,MI,26011,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.55,$26.16,$32.94,$42.57,$21.26,$24.76,$28.38,$30.25,$10.63,$14.46,$18.36,$21.38,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,11.5,41.9,34,12.6,137.54,6.4,44017
Baraga County,MI,26013,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.94,$25.77,$32.16,$40.94,$21.02,$24.76,$28.38,$29.80,$10.51,$14.27,$17.97,$20.56,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,10.8,40.6,32.8,15.8,70.44,6.2,48371
Barry County,MI,26015,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.69,$30.22,$40.09,$53.17,$22.02,$25.74,$29.36,$31.61,$11.01,$16.49,$21.93,$26.68,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,7.3,37.7,33.8,21.1,171.38,3.2,67703
"Bay City, MI",MI,26017,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.65,$29.23,$38.94,$51.48,$21.14,$24.91,$28.53,$30.39,$10.29,$16.00,$21.36,$25.83,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.5,34.6,36.6,19.3,237.37,4.5,50130
Bay County,MI,26017,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.65,$29.23,$38.94,$51.48,$21.14,$24.91,$28.53,$30.39,$10.57,$16.00,$21.36,$25.83,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.5,34.6,36.6,19.3,237.37,4.5,50130
Benzie County,MI,26019,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.08,$26.94,$34.06,$43.68,$21.36,$25.20,$28.83,$30.35,$10.68,$14.85,$18.92,$21.93,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,6.7,31.2,31.8,30.3,93.02,5,56934
Berrien County,MI,26021,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.32,$29.13,$38.51,$50.52,$21.31,$25.14,$28.76,$30.43,$10.66,$15.95,$21.14,$25.35,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,10.3,28.1,33.8,27.8,285.8,3.9,50659
Branch County,MI,26023,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.16,$27.75,$36.00,$46.82,$21.28,$24.89,$28.52,$30.11,$10.64,$15.26,$19.89,$23.50,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,10.9,41.5,33.2,14.4,185.81,3.8,52255
Calhoun County,MI,26025,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.92,$28.97,$37.99,$49.81,$21.67,$25.33,$28.95,$30.78,$10.83,$15.87,$20.88,$25.00,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9,36.8,33.2,21,265.81,4,50205
Cass County,MI,26027,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.98,$28.48,$36.94,$47.97,$21.52,$25.42,$29.04,$30.64,$10.76,$15.63,$20.36,$24.08,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,12.3,33.2,35.4,19.2,151.02,4.1,55029
Charlevoix County,MI,26029,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.95,$27.71,$35.79,$46.98,$21.28,$25.02,$28.64,$30.80,$10.64,$15.24,$19.78,$23.58,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,6,29.7,33.2,31.1,180.04,4.6,58831
Cheboygan County,MI,26031,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.77,$27.46,$35.56,$46.35,$21.07,$24.76,$28.38,$30.11,$10.54,$15.12,$19.66,$23.27,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.9,38,31.4,20.7,207.09,8.5,47876
Chippewa County,MI,26033,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.62,$27.03,$34.68,$44.72,$21.10,$24.76,$28.38,$29.80,$10.55,$14.90,$19.23,$22.45,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,10,34.1,34.7,21.2,189.07,6.1,49610
Clare County,MI,26035,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.77,$27.88,$36.39,$47.77,$21.02,$24.76,$28.38,$30.29,$10.51,$15.32,$20.08,$23.98,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,15.5,36.6,35.3,12.6,196.09,5.9,42480
Clinton County,MI,26037,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$14.08,$33.38,$46.13,$61.95,$22.30,$26.03,$29.65,$31.77,$11.15,$18.08,$24.95,$31.07,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,5.5,26.8,35.7,32.1,97.35,2.9,72666
Crawford County,MI,26039,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.85,$27.14,$34.78,$45.33,$21.12,$24.88,$28.50,$30.44,$10.56,$14.95,$19.28,$22.76,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,10.1,33,37.5,19.4,331.48,5.5,49114
Delta County,MI,26041,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.88,$28.38,$37.38,$49.60,$21.31,$24.76,$28.38,$30.64,$10.65,$15.57,$20.58,$24.89,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,5.9,33.8,39.4,21,214.2,5.1,48880
Dickinson County,MI,26043,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.89,$28.99,$38.44,$50.32,$21.27,$24.94,$28.56,$30.02,$10.64,$15.88,$21.11,$25.25,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,5,33.2,36.1,25.7,91.58,4.1,53751
Eaton County,MI,26045,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$14.08,$29.23,$37.82,$49.49,$22.30,$26.03,$29.65,$31.77,$11.15,$16.00,$20.79,$24.84,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,5.7,27.7,38.8,27.8,151.63,3.3,65891
Emmet County,MI,26047,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.94,$29.46,$38.96,$51.45,$21.47,$25.35,$28.98,$31.00,$10.74,$16.12,$21.37,$25.82,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,6.1,24.7,35.8,33.4,201.25,5.3,59456
Genesee County,MI,26049,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.88,$30.15,$40.43,$53.54,$21.47,$25.26,$28.88,$30.75,$10.73,$16.46,$22.10,$26.86,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.4,31.6,37.8,21.2,188.81,4.9,50554
Gladwin County,MI,26051,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.77,$27.22,$35.08,$45.58,$21.18,$24.76,$28.38,$30.06,$10.59,$15.00,$19.42,$22.88,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,13,39.3,34.2,13.5,325.87,5.6,46458
Gogebic County,MI,26053,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.77,$26.52,$33.67,$44.20,$21.40,$24.76,$28.38,$30.79,$10.70,$14.65,$18.72,$22.19,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,6.3,37.3,36.9,19.4,181.17,5,39030
Grand Traverse County,MI,26055,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.74,$30.14,$39.50,$52.08,$22.77,$26.16,$29.78,$32.02,$11.38,$16.45,$21.64,$26.13,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,4.8,24,35.2,36,325.91,3.4,65041
Gratiot County,MI,26057,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.55,$27.57,$35.78,$46.36,$21.02,$24.76,$28.38,$29.80,$10.51,$15.17,$19.77,$23.27,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,8.9,40.4,35.3,15.4,128.37,4.3,51046
Hillsdale County,MI,26059,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.08,$26.64,$33.82,$43.47,$21.09,$24.84,$28.47,$29.97,$10.54,$14.70,$18.80,$21.83,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,11.8,38.9,32,17.3,303.58,4.1,50015
Houghton County,MI,26061,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.60,$28.88,$38.39,$50.51,$21.12,$24.76,$28.38,$30.03,$10.56,$15.82,$21.08,$25.35,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,7.2,33.1,27.1,32.6,59.89,4.7,45006
Huron County,MI,26063,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.11,$27.58,$35.80,$46.54,$21.07,$24.76,$28.38,$29.94,$10.53,$15.18,$19.78,$23.36,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,10.9,41.6,31.5,16,84.26,4.3,49126
Ingham County,MI,26065,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$14.08,$31.49,$42.35,$56.28,$22.30,$26.03,$29.65,$31.77,$11.15,$17.13,$23.06,$28.23,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,7.1,22,32.1,38.9,202.78,3.4,54704
Ionia County,MI,26067,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.36,$27.72,$35.69,$46.27,$21.31,$25.14,$28.76,$30.41,$10.66,$15.24,$19.73,$23.23,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.5,39.1,35,16.4,277.1,3.3,59582
Iosco County,MI,26069,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.55,$28.73,$38.09,$49.98,$21.62,$24.76,$28.38,$29.95,$10.81,$15.75,$20.93,$25.08,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,11.1,38.3,34.8,15.9,226.27,5.8,43605
Iron County,MI,26071,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.76,$27.07,$34.76,$45.38,$21.28,$24.76,$28.38,$30.34,$10.64,$14.92,$19.27,$22.78,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,8.9,41.9,30.7,18.5,176.27,5.4,46814
Isabella County,MI,26073,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.16,$28.98,$38.53,$51.06,$21.38,$24.81,$28.43,$30.44,$10.69,$15.87,$21.15,$25.62,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,8.5,31.8,30.6,29.1,306.88,3.7,46677
"Jackson, MI",MI,26075,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.58,$28.60,$37.24,$48.62,$21.92,$25.35,$28.97,$30.75,$10.76,$15.68,$20.50,$24.40,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.2,32.6,36,22.2,193.04,3.7,56001
Jackson County,MI,26075,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.58,$28.60,$37.24,$48.62,$21.92,$25.35,$28.97,$30.75,$10.96,$15.68,$20.50,$24.40,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.2,32.6,36,22.2,193.04,3.7,56001
"Kalamazoo-Portage, MI",MI,26077,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$14.53,$34.61,$47.27,$63.78,$23.36,$27.35,$30.97,$33.85,$11.23,$18.69,$25.52,$31.98,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,6.4,22,32.8,38.8,218.71,3.2,56739
Kalamazoo County,MI,26077,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.36,$31.13,$42.01,$56.13,$21.99,$25.65,$29.27,$31.55,$10.99,$16.95,$22.89,$28.16,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,6.4,22,32.8,38.8,218.71,3.2,56739
Kalkaska County,MI,26079,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.55,$25.99,$32.60,$42.09,$21.02,$24.76,$28.38,$30.29,$10.51,$14.38,$18.19,$21.14,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,12.7,42.1,33.3,11.9,137.68,5.5,47620
Kent County,MI,26081,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$14.11,$31.02,$40.91,$54.30,$22.77,$26.52,$30.14,$32.67,$11.39,$16.89,$22.34,$27.24,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.3,24.1,30.9,35.7,175.72,2.8,66560
Keweenaw County,MI,26083,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.77,$27.67,$35.96,$47.43,$21.07,$24.76,$28.38,$30.59,$10.54,$15.22,$19.87,$23.81,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,3.6,35.4,29,32,9.52,6.7,47318
Lake County,MI,26085,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.77,$25.94,$32.51,$41.46,$21.02,$24.76,$28.38,$29.80,$10.51,$14.35,$18.14,$20.82,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,17.6,40.6,30,11.9,47.06,6.2,38044
Lapeer County,MI,26087,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.78,$31.21,$41.19,$54.35,$22.60,$26.62,$30.25,$32.46,$11.30,$16.99,$22.48,$27.27,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.1,35.8,36.8,18.3,129.76,5.5,66415
Leelanau County,MI,26089,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.85,$28.76,$37.60,$49.57,$21.84,$25.30,$28.93,$31.09,$10.92,$15.76,$20.69,$24.88,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,4.3,21.6,29.3,44.7,41.81,3.7,72888
Lenawee County,MI,26091,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.67,$28.67,$37.79,$49.67,$21.16,$24.94,$28.56,$30.35,$10.58,$15.72,$20.78,$24.93,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.1,36.9,33,21,230.46,3.8,55466
Livingston County,MI,26093,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.91,$32.47,$43.50,$58.24,$22.86,$26.83,$30.46,$33.20,$11.43,$17.62,$23.64,$29.21,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,4.8,25.8,34,35.4,55.46,3.4,87827
Luce County,MI,26095,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.77,$26.99,$34.62,$45.24,$21.62,$24.76,$28.38,$30.42,$10.81,$14.88,$19.19,$22.71,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,11.6,36.8,33.2,18.4,274.52,6.2,45464
Mackinac County,MI,26097,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.77,$26.63,$33.89,$43.83,$21.59,$24.76,$28.38,$30.10,$10.79,$14.70,$18.83,$22.01,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.3,34,33.4,23.3,137.13,9,44986
Macomb County,MI,26099,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.78,$32.39,$43.54,$57.88,$22.60,$26.62,$30.25,$32.46,$11.30,$17.58,$23.66,$29.03,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,10.1,29.7,35.4,24.9,124.92,4.3,65051
Manistee County,MI,26101,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.77,$25.55,$31.73,$40.70,$21.02,$24.76,$28.38,$30.21,$10.51,$14.16,$17.75,$20.44,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,10.1,35.6,34,20.3,202.38,5.4,50047
Marquette County,MI,26103,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.74,$30.54,$41.42,$54.76,$21.24,$25.04,$28.67,$30.15,$10.62,$16.65,$22.60,$27.47,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,5,30.9,31.1,32.9,219.98,4.8,54913
Mason County,MI,26105,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.84,$28.47,$37.49,$48.93,$21.09,$24.84,$28.46,$29.92,$10.54,$15.62,$20.63,$24.56,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,7.9,34.5,34.6,23.1,237.33,4.8,49869
Mecosta County,MI,26107,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.57,$27.63,$35.88,$46.70,$21.52,$24.76,$28.38,$29.99,$10.76,$15.20,$19.83,$23.44,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,9.8,36,31.5,22.7,286.74,4.6,47705
Menominee County,MI,26109,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.77,$27.06,$34.75,$45.42,$21.57,$24.76,$28.38,$30.40,$10.79,$14.91,$19.26,$22.80,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,7.5,42.5,33.7,16.3,409.12,3.9,49189
"Midland, MI",MI,26111,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.98,$29.13,$38.24,$50.87,$21.52,$25.41,$29.03,$31.59,$10.46,$15.95,$21.00,$25.53,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,5.8,28.9,30.1,35.2,56.18,3.7,69859
Midland County,MI,26111,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.98,$29.13,$38.24,$50.87,$21.52,$25.41,$29.03,$31.59,$10.76,$15.95,$21.00,$25.53,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,5.8,28.9,30.1,35.2,56.18,3.7,69859
Missaukee County,MI,26113,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$12.93,$29.26,$38.91,$51.00,$21.21,$25.00,$28.62,$30.10,$10.60,$16.01,$21.34,$25.59,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,10.5,41.9,33.6,14,217.03,4.7,51317
"Monroe, MI",MI,26115,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.67,$29.85,$39.35,$52.13,$21.83,$25.73,$29.35,$31.64,$10.80,$16.31,$21.56,$26.16,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,8.6,35.2,35.7,20.5,49.13,3.8,64341
Monroe County,MI,26115,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.67,$29.85,$39.35,$52.13,$21.83,$25.73,$29.35,$31.64,$10.92,$16.31,$21.56,$26.16,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,8.6,35.2,35.7,20.5,49.13,3.8,64341
Montcalm County,MI,26117,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,$13.47,$27.91,$36.21,$47.21,$21.43,$25.01,$28.63,$30.37,$10.71,$15.34,$19.99,$23.70,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,$9.65,11.3,40.4,34.9,13.3,253.88,4,52089
