,Unnamed: 0_level_0,1 ADULT,1 ADULT,1 ADULT,1 ADULT,2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(1 WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),2 ADULTS(BOTH WORKING),State,County
2,Minimum Wage,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,Maine,Piscataquis County
0,Living Wage,$14.68,$31.06,$39.01,$50.33,$24.38,$28.82,$32.59,$35.28,$12.19,$17.00,$21.48,$25.42,Maine,Sagadahoc County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maine,Sagadahoc County
2,Minimum Wage,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,Maine,Sagadahoc County
0,Living Wage,$13.75,$28.80,$35.83,$45.80,$22.89,$27.49,$31.26,$33.54,$11.45,$15.87,$19.89,$23.15,Maine,Somerset County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maine,Somerset County
2,Minimum Wage,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,Maine,Somerset County
0,Living Wage,$15.12,$29.42,$36.72,$47.14,$23.85,$27.84,$31.60,$34.06,$11.93,$16.18,$20.33,$23.83,Maine,Waldo County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maine,Waldo County
2,Minimum Wage,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,Maine,Waldo County
0,Living Wage,$14.26,$28.97,$36.16,$45.94,$22.87,$27.50,$31.26,$33.18,$11.43,$15.96,$20.05,$23.22,Maine,Washington County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maine,Washington County
2,Minimum Wage,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,Maine,Washington County
0,Living Wage,$16.24,$32.79,$41.00,$52.57,$25.22,$30.31,$34.08,$36.79,$12.61,$17.87,$22.47,$26.54,Maine,York County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maine,York County
2,Minimum Wage,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,Maine,York County
0,Living Wage,$13.96,$29.27,$36.73,$46.89,$22.83,$27.52,$31.29,$33.32,$11.27,$16.11,$20.34,$23.70,Maine,"Bangor, ME"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maine,"Bangor, ME"
2,Minimum Wage,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,Maine,"Bangor, ME"
0,Living Wage,$14.03,$29.42,$36.99,$47.38,$22.95,$27.56,$31.33,$33.48,$11.31,$16.18,$20.47,$23.95,Maine,"Lewiston-Auburn, ME"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maine,"Lewiston-Auburn, ME"
2,Minimum Wage,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,Maine,"Lewiston-Auburn, ME"
0,Living Wage,$16.22,$33.31,$41.69,$53.98,$25.34,$30.65,$34.41,$37.66,$12.40,$18.13,$22.81,$27.25,Maine,"Portland-South Portland, ME"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maine,"Portland-South Portland, ME"
2,Minimum Wage,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,$12.00,Maine,"Portland-South Portland, ME"
0,Living Wage,$13.16,$27.21,$33.28,$42.22,$22.14,$26.52,$30.12,$32.04,$11.07,$14.99,$18.51,$21.20,Maryland,Allegany County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Allegany County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Allegany County
0,Living Wage,$15.84,$34.18,$42.52,$55.16,$25.81,$31.22,$34.81,$37.85,$12.91,$18.47,$23.13,$27.67,Maryland,Anne Arundel County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Anne Arundel County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Anne Arundel County
0,Living Wage,$15.84,$33.87,$41.90,$54.23,$25.81,$31.22,$34.81,$37.85,$12.91,$18.32,$22.82,$27.20,Maryland,Baltimore city
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Baltimore city
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Baltimore city
0,Living Wage,$15.84,$33.04,$40.23,$51.72,$25.81,$31.22,$34.81,$37.85,$12.91,$17.90,$21.99,$25.95,Maryland,Baltimore County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Baltimore County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Baltimore County
0,Living Wage,$19.82,$36.53,$44.87,$58.25,$28.62,$33.57,$37.16,$40.93,$14.31,$19.65,$24.45,$29.21,Maryland,Calvert County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Calvert County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Calvert County
0,Living Wage,$14.64,$29.18,$35.44,$44.93,$23.17,$28.30,$31.89,$34.18,$11.58,$15.97,$19.59,$22.55,Maryland,Caroline County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Caroline County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Caroline County
0,Living Wage,$15.84,$34.18,$42.52,$55.16,$25.81,$31.22,$34.81,$37.85,$12.91,$18.47,$23.13,$27.67,Maryland,Carroll County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Carroll County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Carroll County
0,Living Wage,$15.61,$31.75,$38.72,$49.25,$25.16,$30.16,$33.75,$36.06,$12.58,$17.26,$21.23,$24.71,Maryland,Cecil County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Cecil County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Cecil County
0,Living Wage,$19.82,$36.53,$44.87,$58.25,$28.62,$33.57,$37.16,$40.93,$14.31,$19.65,$24.45,$29.21,Maryland,Charles County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Charles County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Charles County
0,Living Wage,$15.04,$28.84,$35.10,$44.97,$23.54,$27.96,$31.56,$34.21,$11.77,$15.80,$19.42,$22.57,Maryland,Dorchester County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Dorchester County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Dorchester County
0,Living Wage,$19.82,$36.22,$44.25,$57.32,$28.62,$33.57,$37.16,$40.93,$14.31,$19.49,$23.99,$28.75,Maryland,Frederick County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Frederick County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Frederick County
0,Living Wage,$12.86,$27.34,$33.41,$42.78,$22.14,$26.65,$30.24,$32.59,$11.07,$15.05,$18.58,$21.47,Maryland,Garrett County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Garrett County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Garrett County
0,Living Wage,$15.84,$33.87,$41.90,$54.23,$25.81,$31.22,$34.81,$37.85,$12.91,$18.32,$22.82,$27.20,Maryland,Harford County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Harford County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Harford County
0,Living Wage,$15.84,$36.07,$46.30,$61.22,$25.81,$31.22,$34.81,$37.85,$12.91,$19.42,$25.17,$30.70,Maryland,Howard County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Howard County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Howard County
0,Living Wage,$14.98,$29.63,$35.89,$46.02,$23.51,$28.75,$32.34,$35.26,$11.76,$16.20,$19.81,$23.10,Maryland,Kent County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Kent County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Kent County
0,Living Wage,$19.82,$38.42,$48.94,$64.32,$28.62,$33.57,$37.16,$40.93,$14.31,$20.59,$26.35,$32.25,Maryland,Montgomery County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Montgomery County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Montgomery County
0,Living Wage,$19.82,$36.53,$44.87,$58.25,$28.62,$33.57,$37.16,$40.93,$14.31,$19.65,$24.45,$29.21,Maryland,Prince George's County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Prince George's County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Prince George's County
0,Living Wage,$15.84,$32.81,$39.79,$51.05,$25.81,$31.22,$34.81,$37.85,$12.91,$17.79,$21.76,$25.61,Maryland,Queen Anne's County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Queen Anne's County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Queen Anne's County
0,Living Wage,$13.03,$28.30,$35.27,$45.42,$22.56,$26.71,$30.30,$32.52,$11.28,$15.53,$19.51,$22.80,Maryland,Somerset County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Somerset County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Somerset County
0,Living Wage,$15.62,$31.76,$38.02,$49.44,$25.71,$30.88,$34.47,$38.39,$12.86,$17.26,$20.88,$24.81,Maryland,St. Mary's County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,St. Mary's County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,St. Mary's County
0,Living Wage,$15.60,$31.30,$38.27,$49.29,$24.24,$29.71,$33.30,$36.10,$12.12,$17.03,$21.01,$24.73,Maryland,Talbot County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Talbot County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Talbot County
0,Living Wage,$13.51,$29.23,$36.20,$46.89,$22.77,$27.64,$31.23,$34.00,$11.38,$16.00,$19.97,$23.53,Maryland,Washington County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Washington County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Washington County
0,Living Wage,$14.11,$29.45,$35.71,$45.66,$23.72,$28.57,$32.16,$34.90,$11.86,$16.10,$19.72,$22.91,Maryland,Wicomico County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Wicomico County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Wicomico County
0,Living Wage,$14.15,$29.04,$35.11,$44.32,$23.19,$28.35,$31.95,$34.14,$11.59,$15.90,$19.43,$22.25,Maryland,Worcester County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,Worcester County
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,Worcester County
0,Living Wage,$15.81,$33.91,$42.00,$54.25,$25.78,$31.19,$34.78,$37.82,$12.15,$18.33,$22.87,$27.21,Maryland,"Baltimore-Columbia-Towson, MD"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,"Baltimore-Columbia-Towson, MD"
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,"Baltimore-Columbia-Towson, MD"
0,Living Wage,$15.59,$31.73,$37.99,$49.26,$25.68,$30.85,$34.44,$38.36,$12.04,$17.25,$20.86,$24.72,Maryland,"California-Lexington Park, MD"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,"California-Lexington Park, MD"
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,"California-Lexington Park, MD"
0,Living Wage,$13.13,$27.52,$33.92,$43.20,$22.11,$26.49,$30.09,$32.00,$10.81,$15.14,$18.83,$21.69,Maryland,"Cumberland, MD"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,"Cumberland, MD"
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,"Cumberland, MD"
0,Living Wage,$13.74,$29.28,$36.49,$47.11,$22.65,$27.45,$31.04,$33.50,$11.11,$16.02,$20.11,$23.64,Maryland,"Hagerstown-Martinsburg, MD"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,"Hagerstown-Martinsburg, MD"
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,"Hagerstown-Martinsburg, MD"
0,Living Wage,$13.95,$29.27,$35.74,$46.03,$23.24,$28.18,$31.77,$34.64,$11.22,$16.02,$19.74,$23.10,Maryland,"Salisbury, MD"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Maryland,"Salisbury, MD"
2,Minimum Wage,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,$11.00,Maryland,"Salisbury, MD"
0,Living Wage,$15.47,$35.28,$46.51,$61.51,$24.08,$29.25,$32.67,$35.85,$12.04,$18.98,$25.04,$30.99,Massachusetts,Barnstable County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Barnstable County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Barnstable County
0,Living Wage,$14.25,$31.08,$40.98,$53.79,$22.11,$26.37,$29.78,$32.09,$11.05,$16.88,$22.28,$27.13,Massachusetts,Berkshire County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Berkshire County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Berkshire County
0,Living Wage,$14.34,$28.64,$35.83,$46.13,$22.48,$26.65,$30.06,$32.58,$11.24,$15.66,$19.70,$23.30,Massachusetts,Bristol County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Bristol County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Bristol County
0,Living Wage,$16.40,$36.73,$47.95,$63.08,$26.56,$30.69,$34.11,$37.42,$13.28,$19.70,$25.76,$31.77,Massachusetts,Dukes County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Dukes County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Dukes County
0,Living Wage,$18.88,$38.35,$49.01,$64.11,$27.57,$32.88,$36.30,$40.14,$13.79,$20.51,$26.29,$32.29,Massachusetts,Essex County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Essex County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Essex County
0,Living Wage,$14.50,$31.16,$41.07,$54.52,$22.14,$26.45,$29.87,$32.82,$11.07,$16.92,$22.32,$27.49,Massachusetts,Franklin County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Franklin County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Franklin County
0,Living Wage,$13.80,$31.30,$41.20,$53.99,$22.25,$26.58,$30.00,$32.29,$11.12,$16.99,$22.39,$27.23,Massachusetts,Hampden County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Hampden County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Hampden County
0,Living Wage,$13.80,$31.30,$41.20,$53.99,$22.25,$26.58,$30.00,$32.29,$11.12,$16.99,$22.39,$27.23,Massachusetts,Hampshire County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Hampshire County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Hampshire County
0,Living Wage,$19.55,$39.10,$49.76,$65.05,$28.23,$33.64,$37.05,$41.09,$14.12,$20.89,$26.67,$32.76,Massachusetts,Middlesex County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Middlesex County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Middlesex County
0,Living Wage,$17.22,$36.67,$47.89,$64.20,$25.13,$30.63,$34.05,$38.53,$12.56,$19.67,$25.73,$32.33,Massachusetts,Nantucket County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Nantucket County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Nantucket County
0,Living Wage,$20.20,$42.15,$55.07,$72.82,$28.94,$34.42,$37.83,$42.06,$14.47,$22.41,$29.32,$36.64,Massachusetts,Norfolk County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Norfolk County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Norfolk County
0,Living Wage,$18.09,$37.16,$47.63,$62.35,$26.54,$31.88,$35.30,$38.94,$13.27,$19.92,$25.60,$31.41,Massachusetts,Plymouth County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Plymouth County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Plymouth County
0,Living Wage,$20.35,$42.34,$55.26,$73.05,$29.12,$34.60,$38.02,$42.29,$14.56,$22.51,$29.42,$36.76,Massachusetts,Suffolk County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Suffolk County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Suffolk County
0,Living Wage,$15.03,$32.88,$43.35,$57.08,$22.97,$27.60,$31.02,$33.68,$11.49,$17.78,$23.47,$28.77,Massachusetts,Worcester County
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,Worcester County
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,Worcester County
0,Living Wage,$15.47,$35.28,$46.51,$61.51,$24.08,$29.25,$32.67,$35.85,$11.49,$18.98,$25.04,$30.99,Massachusetts,"Barnstable Town, MA"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,"Barnstable Town, MA"
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,"Barnstable Town, MA"
0,Living Wage,$19.17,$39.08,$50.21,$65.93,$27.79,$33.14,$36.55,$40.54,$13.35,$20.88,$26.89,$33.19,Massachusetts,"Boston-Cambridge-Newton, MA"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,"Boston-Cambridge-Newton, MA"
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,"Boston-Cambridge-Newton, MA"
0,Living Wage,$14.25,$31.08,$40.98,$53.79,$22.11,$26.37,$29.78,$32.09,$10.89,$16.88,$22.28,$27.13,Massachusetts,"Pittsfield, MA"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,"Pittsfield, MA"
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,"Pittsfield, MA"
0,Living Wage,$13.30,$29.80,$38.95,$50.82,$21.65,$25.83,$29.25,$31.35,$10.41,$16.24,$21.27,$25.64,Massachusetts,"Springfield, MA"
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Massachusetts,"Springfield, MA"
2,Minimum Wage,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,$12.75,Massachusetts,"Springfield, MA"
