,type,1a1w0c,1a1w1c,1a1w2c,1a1w3c,2a1w0c,2a1w1c,2a1w2c,2a1w3c,2a2w0c,2a2w1c,2a2w2c,2a2w3c,State,County
6515,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Jackson County
6516,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Jackson County
6517,Living Wage,$16.32,$31.40,$38.83,$49.69,$25.14,$29.42,$33.06,$35.52,$12.57,$17.10,$21.31,$24.93,North Carolina,Johnston County
6518,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Johnston County
6519,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Johnston County
6520,Living Wage,$13.16,$26.84,$33.25,$42.93,$21.59,$25.89,$29.53,$31.83,$10.79,$14.82,$18.52,$21.55,North Carolina,Jones County
6521,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Jones County
6522,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Jones County
6523,Living Wage,$13.90,$27.84,$34.81,$44.46,$22.42,$26.32,$29.96,$31.69,$11.21,$15.32,$19.30,$22.32,North Carolina,Lee County
6524,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Lee County
6525,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Lee County
6526,Living Wage,$13.04,$27.55,$34.32,$44.08,$21.73,$26.24,$29.88,$31.92,$10.86,$15.18,$19.05,$22.13,North Carolina,Lenoir County
6527,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Lenoir County
6528,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Lenoir County
6529,Living Wage,$14.11,$29.48,$37.60,$48.88,$22.52,$26.81,$30.45,$32.65,$11.26,$16.14,$20.69,$24.53,North Carolina,Lincoln County
6530,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Lincoln County
6531,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Lincoln County
6532,Living Wage,$13.62,$28.20,$35.42,$45.22,$22.04,$26.43,$30.07,$31.69,$11.02,$15.50,$19.60,$22.70,North Carolina,Macon County
6533,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Macon County
6534,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Macon County
6535,Living Wage,$16.88,$31.34,$38.05,$49.21,$25.31,$30.08,$33.72,$37.21,$12.65,$17.07,$20.92,$24.69,North Carolina,Madison County
6536,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Madison County
6537,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Madison County
6538,Living Wage,$13.05,$26.95,$33.46,$42.77,$21.45,$25.89,$29.53,$31.36,$10.73,$14.87,$18.62,$21.47,North Carolina,Martin County
6539,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Martin County
6540,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Martin County
6541,Living Wage,$13.50,$26.93,$33.43,$42.24,$21.91,$25.89,$29.53,$30.88,$10.95,$14.87,$18.61,$21.21,North Carolina,McDowell County
6542,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,McDowell County
6543,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,McDowell County
6544,Living Wage,$15.93,$31.81,$40.38,$52.66,$24.51,$28.70,$32.34,$35.10,$12.25,$17.31,$22.08,$26.42,North Carolina,Mecklenburg County
6545,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Mecklenburg County
6546,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Mecklenburg County
6547,Living Wage,$13.05,$26.53,$32.62,$41.08,$21.46,$25.89,$29.53,$30.93,$10.73,$14.66,$18.20,$20.63,North Carolina,Mitchell County
6548,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Mitchell County
6549,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Mitchell County
6550,Living Wage,$13.22,$26.78,$33.13,$42.01,$21.63,$25.89,$29.53,$31.10,$10.81,$14.79,$18.46,$21.09,North Carolina,Montgomery County
6551,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Montgomery County
6552,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Montgomery County
6553,Living Wage,$14.20,$28.99,$36.55,$46.98,$22.90,$26.87,$30.51,$32.41,$11.45,$15.89,$20.17,$23.58,North Carolina,Moore County
6554,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Moore County
6555,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Moore County
6556,Living Wage,$13.49,$28.51,$35.99,$46.50,$21.91,$26.48,$30.12,$32.18,$10.95,$15.65,$19.89,$23.34,North Carolina,Nash County
6557,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Nash County
6558,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Nash County
6559,Living Wage,$14.26,$30.48,$38.40,$50.07,$23.37,$28.01,$31.65,$34.43,$11.69,$16.64,$21.10,$25.12,North Carolina,New Hanover County
6560,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,New Hanover County
6561,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,New Hanover County
6562,Living Wage,$13.05,$27.80,$35.15,$45.56,$21.45,$25.89,$29.53,$31.61,$10.73,$15.30,$19.47,$22.87,North Carolina,Northampton County
6563,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Northampton County
6564,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Northampton County
6565,Living Wage,$14.47,$29.95,$37.67,$49.44,$22.99,$27.68,$31.32,$34.41,$11.50,$16.37,$20.73,$24.81,North Carolina,Onslow County
6566,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Onslow County
6567,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Onslow County
6568,Living Wage,$16.02,$33.49,$43.56,$57.43,$24.51,$28.88,$32.52,$35.37,$12.25,$18.15,$23.67,$28.80,North Carolina,Orange County
6569,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Orange County
6570,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Orange County
6571,Living Wage,$13.64,$27.05,$33.05,$41.51,$22.10,$26.51,$30.15,$31.66,$11.05,$14.93,$18.42,$20.84,North Carolina,Pamlico County
6572,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Pamlico County
6573,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Pamlico County
6574,Living Wage,$13.61,$27.87,$34.47,$44.71,$22.09,$26.73,$30.37,$33.04,$11.05,$15.34,$19.13,$22.44,North Carolina,Pasquotank County
6575,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Pasquotank County
6576,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Pasquotank County
6577,Living Wage,$13.34,$28.36,$35.67,$46.11,$22.37,$26.50,$30.14,$32.31,$11.19,$15.58,$19.73,$23.14,North Carolina,Pender County
6578,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Pender County
6579,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Pender County
6580,Living Wage,$14.13,$27.70,$33.90,$42.67,$22.55,$26.96,$30.60,$32.22,$11.27,$15.25,$18.84,$21.42,North Carolina,Perquimans County
6581,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Perquimans County
6582,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Perquimans County
6583,Living Wage,$13.33,$28.48,$36.14,$46.71,$21.74,$26.26,$29.90,$31.84,$10.87,$15.64,$19.97,$23.44,North Carolina,Person County
6584,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Person County
6585,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Person County
6586,Living Wage,$13.84,$28.89,$36.60,$47.77,$22.25,$26.63,$30.27,$32.78,$11.13,$15.84,$20.19,$23.97,North Carolina,Pitt County
6587,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Pitt County
6588,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Pitt County
6589,Living Wage,$13.46,$27.71,$34.44,$43.63,$21.88,$26.43,$30.07,$31.56,$10.94,$15.25,$19.12,$21.90,North Carolina,Polk County
6590,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Polk County
6591,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Polk County
6592,Living Wage,$14.34,$28.51,$35.39,$45.38,$23.03,$27.09,$30.73,$32.88,$11.51,$15.66,$19.59,$22.78,North Carolina,Randolph County
6593,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Randolph County
6594,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Randolph County
6595,Living Wage,$13.53,$26.94,$33.45,$42.61,$22.01,$25.89,$29.53,$31.21,$11.01,$14.87,$18.62,$21.39,North Carolina,Richmond County
6596,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Richmond County
6597,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Richmond County
6598,Living Wage,$12.84,$27.33,$34.22,$43.43,$21.46,$25.89,$29.53,$30.89,$10.73,$15.06,$19.00,$21.80,North Carolina,Robeson County
6599,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Robeson County
6600,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Robeson County
6601,Living Wage,$13.08,$27.06,$33.64,$42.92,$21.49,$25.93,$29.57,$31.30,$10.74,$14.93,$18.71,$21.55,North Carolina,Rockingham County
6602,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Rockingham County
6603,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Rockingham County
6604,Living Wage,$14.10,$28.65,$35.63,$45.67,$22.69,$27.12,$30.76,$32.86,$11.34,$15.72,$19.71,$22.92,North Carolina,Rowan County
6605,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Rowan County
6606,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Rowan County
6607,Living Wage,$13.05,$26.80,$33.16,$41.88,$21.45,$25.89,$29.53,$30.92,$10.73,$14.80,$18.47,$21.03,North Carolina,Rutherford County
6608,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Rutherford County
6609,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Rutherford County
6610,Living Wage,$13.07,$27.29,$34.13,$43.94,$21.47,$25.89,$29.53,$31.52,$10.74,$15.04,$18.96,$22.06,North Carolina,Sampson County
6611,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Sampson County
6612,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Sampson County
6613,Living Wage,$13.05,$27.11,$33.79,$42.78,$21.45,$25.89,$29.53,$30.88,$10.73,$14.96,$18.79,$21.48,North Carolina,Scotland County
6614,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Scotland County
6615,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Scotland County
6616,Living Wage,$13.25,$27.43,$34.42,$44.28,$21.65,$25.89,$29.53,$31.43,$10.83,$15.11,$19.10,$22.23,North Carolina,Stanly County
6617,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Stanly County
6618,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Stanly County
6619,Living Wage,$13.58,$27.87,$34.64,$44.46,$22.23,$26.55,$30.19,$32.26,$11.11,$15.34,$19.22,$22.31,North Carolina,Stokes County
6620,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Stokes County
6621,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Stokes County
6622,Living Wage,$13.08,$27.27,$34.11,$43.55,$21.49,$25.89,$29.53,$31.17,$10.74,$15.04,$18.95,$21.86,North Carolina,Surry County
6623,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Surry County
6624,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Surry County
6625,Living Wage,$13.53,$26.48,$32.53,$40.96,$22.03,$25.89,$29.53,$30.94,$11.01,$14.64,$18.16,$20.57,North Carolina,Swain County
6626,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Swain County
6627,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Swain County
6628,Living Wage,$13.48,$27.35,$34.18,$43.49,$21.89,$25.96,$29.60,$31.10,$10.95,$15.07,$18.99,$21.83,North Carolina,Transylvania County
6629,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Transylvania County
6630,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Transylvania County
6631,Living Wage,$13.31,$26.59,$32.69,$42.08,$21.72,$25.94,$29.58,$31.90,$10.86,$14.69,$18.24,$21.13,North Carolina,Tyrrell County
6632,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Tyrrell County
6633,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Tyrrell County
6634,Living Wage,$15.93,$32.38,$41.51,$54.35,$24.51,$28.70,$32.34,$35.10,$12.25,$17.59,$22.65,$27.26,North Carolina,Union County
6635,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Union County
6636,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Union County
6637,Living Wage,$12.78,$27.71,$34.97,$45.36,$22.03,$25.89,$29.53,$31.68,$11.01,$15.25,$19.38,$22.77,North Carolina,Vance County
6638,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Vance County
6639,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Vance County
6640,Living Wage,$16.32,$33.90,$43.82,$57.17,$25.14,$29.42,$33.06,$35.52,$12.57,$18.35,$23.81,$28.67,North Carolina,Wake County
6641,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Wake County
6642,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Wake County
6643,Living Wage,$13.22,$27.90,$35.37,$45.67,$21.63,$25.89,$29.53,$31.39,$10.82,$15.35,$19.58,$22.92,North Carolina,Warren County
6644,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Warren County
6645,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Warren County
6646,Living Wage,$13.05,$27.41,$34.38,$44.62,$21.45,$25.89,$29.53,$31.83,$10.73,$15.10,$19.09,$22.40,North Carolina,Washington County
6647,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Washington County
6648,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Washington County
6649,Living Wage,$13.66,$29.25,$36.68,$47.22,$22.66,$27.28,$30.92,$33.07,$11.33,$16.03,$20.23,$23.70,North Carolina,Watauga County
6650,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Watauga County
6651,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Watauga County
6652,Living Wage,$13.81,$28.68,$35.90,$45.70,$22.23,$26.90,$30.54,$32.15,$11.11,$15.74,$19.85,$22.94,North Carolina,Wayne County
6653,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Wayne County
6654,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Wayne County
6655,Living Wage,$13.05,$27.93,$35.43,$46.11,$21.45,$25.89,$29.53,$31.75,$10.73,$15.37,$19.61,$23.14,North Carolina,Wilkes County
6656,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Wilkes County
6657,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Wilkes County
6658,Living Wage,$14.00,$28.14,$35.29,$45.24,$22.52,$26.44,$30.08,$31.92,$11.26,$15.47,$19.54,$22.71,North Carolina,Wilson County
6659,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Wilson County
6660,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Wilson County
6661,Living Wage,$13.58,$26.71,$32.33,$40.98,$22.23,$26.55,$30.19,$32.26,$11.11,$14.76,$18.06,$20.58,North Carolina,Yadkin County
6662,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Yadkin County
6663,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Yadkin County
6664,Living Wage,$13.10,$27.13,$33.82,$43.19,$21.51,$25.89,$29.53,$31.24,$10.76,$14.96,$18.80,$21.68,North Carolina,Yancey County
6665,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,Yancey County
6666,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,Yancey County
6667,Living Wage,$16.50,$32.46,$40.61,$53.01,$25.08,$29.76,$33.40,$36.68,$12.44,$17.63,$22.20,$26.59,North Carolina,"Asheville, NC"
6668,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,"Asheville, NC"
6669,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,"Asheville, NC"
6670,Living Wage,$13.73,$29.78,$37.85,$48.88,$22.53,$27.15,$30.79,$32.78,$11.06,$16.29,$20.82,$24.53,North Carolina,"Burlington, NC"
6671,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,"Burlington, NC"
6672,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,"Burlington, NC"
6673,Living Wage,$15.49,$30.70,$38.56,$49.98,$24.07,$28.29,$31.92,$34.52,$11.94,$16.75,$21.17,$25.08,North Carolina,"Charlotte-Concord-Gastonia, NC"
6674,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,"Charlotte-Concord-Gastonia, NC"
6675,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,"Charlotte-Concord-Gastonia, NC"
6676,Living Wage,$15.22,$31.24,$39.95,$52.16,$23.70,$27.98,$31.62,$34.16,$11.80,$17.02,$21.87,$26.17,North Carolina,"Durham-Chapel Hill, NC"
6677,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,"Durham-Chapel Hill, NC"
6678,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,"Durham-Chapel Hill, NC"
6679,Living Wage,$13.18,$26.44,$32.80,$42.06,$21.60,$25.54,$29.18,$31.12,$10.78,$14.62,$18.29,$21.12,North Carolina,"Fayetteville, NC"
6680,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,North Carolina,"Fayetteville, NC"
6681,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,North Carolina,"Fayetteville, NC"
