County,State,FIPS,pov 1a0c,pov 1a1c,pov 1a2c,pov 1a3c,pov 2a1w0c,pov 2a1w1c,pov 2a1w2c,pov 2a1w3c,pov 2a2w0c,pov 2a2w1c,pov 2a2w2c,pov 2a2w3c,live 1a0c,live 1a1c,live 1a2c,live 1a3c,live 2a1w0c,live 2a1w1c,live 2a1w2c,live 2a1w3c,live 2a2w0c,live 2a2w1c,live 2a2w2c,live 2a2w3c,min 1a0c,min 1a1c,min 1a2c,min 1a3c,min 2a1w0c,min 2a1w1c,min 2a1w2c,min 2a1w3c,min 2a2w0c,min 2a2w1c,min 2a2w2c,min 2a2w3c
Wyoming County,NY,36121,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.23 ,$28.18 ,$35.80 ,$46.45 ,$21.90 ,$26.18 ,$29.87 ,$32.06 ,$10.95 ,$15.54 ,$19.93 ,$23.48 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 
Yates County,NY,36123,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.57 ,$28.45 ,$36.07 ,$47.00 ,$22.44 ,$26.45 ,$30.14 ,$32.60 ,$11.22 ,$15.67 ,$20.06 ,$23.75 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 
Alamance County,NC,37001,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.73 ,$29.78 ,$37.85 ,$48.88 ,$22.53 ,$27.15 ,$30.79 ,$32.78 ,$11.27 ,$16.29 ,$20.82 ,$24.53 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Alexander County,NC,37003,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.50 ,$27.05 ,$33.37 ,$42.30 ,$21.91 ,$26.18 ,$29.82 ,$31.47 ,$10.96 ,$14.92 ,$18.58 ,$21.24 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Alleghany County,NC,37005,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.05 ,$25.63 ,$30.83 ,$38.42 ,$21.45 ,$25.89 ,$29.53 ,$30.95 ,$10.73 ,$14.22 ,$17.31 ,$19.30 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Anson County,NC,37007,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.53 ,$27.84 ,$35.24 ,$45.44 ,$21.94 ,$25.89 ,$29.53 ,$31.37 ,$10.97 ,$15.32 ,$19.51 ,$22.81 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Ashe County,NC,37009,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.05 ,$26.20 ,$31.97 ,$41.00 ,$21.45 ,$25.89 ,$29.53 ,$31.83 ,$10.73 ,$14.50 ,$17.88 ,$20.59 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Avery County,NC,37011,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.45 ,$27.65 ,$34.36 ,$43.66 ,$21.86 ,$26.39 ,$30.03 ,$31.66 ,$10.93 ,$15.22 ,$19.07 ,$21.92 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Beaufort County,NC,37013,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.34 ,$27.41 ,$34.38 ,$44.18 ,$21.75 ,$25.89 ,$29.53 ,$31.38 ,$10.87 ,$15.10 ,$19.09 ,$22.18 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Bertie County,NC,37015,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.53 ,$26.83 ,$33.23 ,$42.05 ,$22.03 ,$25.89 ,$29.53 ,$30.99 ,$11.01 ,$14.82 ,$18.51 ,$21.11 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Bladen County,NC,37017,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.05 ,$26.56 ,$32.68 ,$41.62 ,$21.45 ,$25.89 ,$29.53 ,$31.38 ,$10.73 ,$14.68 ,$18.24 ,$20.90 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Brunswick County,NC,37019,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$14.18 ,$28.62 ,$35.56 ,$45.79 ,$22.83 ,$27.14 ,$30.78 ,$33.11 ,$11.41 ,$15.71 ,$19.67 ,$22.98 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Buncombe County,NC,37021,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$16.88 ,$33.34 ,$42.04 ,$55.20 ,$25.31 ,$30.08 ,$33.72 ,$37.21 ,$12.65 ,$18.07 ,$22.92 ,$27.69 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Burke County,NC,37023,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.50 ,$27.53 ,$34.32 ,$43.73 ,$21.91 ,$26.18 ,$29.82 ,$31.47 ,$10.96 ,$15.16 ,$19.06 ,$21.95 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Cabarrus County,NC,37025,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$15.93 ,$31.28 ,$39.31 ,$51.05 ,$24.51 ,$28.70 ,$32.34 ,$35.10 ,$12.25 ,$17.04 ,$21.55 ,$25.61 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Caldwell County,NC,37033,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.50 ,$27.40 ,$34.07 ,$43.35 ,$21.91 ,$26.18 ,$29.82 ,$31.47 ,$10.96 ,$15.10 ,$18.93 ,$21.76 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Caldwell County,NC,37027,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.50 ,$27.40 ,$34.07 ,$43.35 ,$21.91 ,$26.18 ,$29.82 ,$31.47 ,$10.96 ,$15.10 ,$18.93 ,$21.76 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Camden County,NC,37029,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$15.58 ,$29.72 ,$36.11 ,$45.57 ,$24.01 ,$28.78 ,$32.42 ,$34.52 ,$12.01 ,$16.26 ,$19.95 ,$22.87 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Carteret County,NC,37031,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.89 ,$28.45 ,$35.34 ,$45.33 ,$22.31 ,$27.01 ,$30.65 ,$32.79 ,$11.15 ,$15.62 ,$19.56 ,$22.75 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Caswell County,NC,37033,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.53 ,$27.34 ,$34.25 ,$43.86 ,$22.03 ,$25.89 ,$29.53 ,$31.27 ,$11.01 ,$15.07 ,$19.02 ,$22.02 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Caswell County,NC,37027,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.53 ,$27.34 ,$34.25 ,$43.86 ,$22.03 ,$25.89 ,$29.53 ,$31.27 ,$11.01 ,$15.07 ,$19.02 ,$22.02 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Catawba County,NC,37035,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.50 ,$28.12 ,$35.51 ,$45.50 ,$21.91 ,$26.18 ,$29.82 ,$31.47 ,$10.96 ,$15.46 ,$19.65 ,$22.84 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Chatham County,NC,37037,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$16.02 ,$31.08 ,$38.72 ,$50.17 ,$24.51 ,$28.88 ,$32.52 ,$35.37 ,$12.25 ,$16.94 ,$21.25 ,$25.17 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Cherokee County,NC,37039,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.10 ,$26.68 ,$32.86 ,$41.83 ,$21.50 ,$25.95 ,$29.59 ,$31.43 ,$10.75 ,$14.74 ,$18.32 ,$21.00 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Chowan County,NC,37159,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.93 ,$27.43 ,$33.60 ,$42.28 ,$22.34 ,$26.71 ,$30.35 ,$31.91 ,$11.17 ,$15.11 ,$18.69 ,$21.23 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Chowan County,NC,37041,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.93 ,$27.43 ,$33.60 ,$42.28 ,$22.34 ,$26.71 ,$30.35 ,$31.91 ,$11.17 ,$15.11 ,$18.69 ,$21.23 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Clay County,NC,37043,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.82 ,$27.20 ,$33.36 ,$41.99 ,$22.24 ,$26.48 ,$30.12 ,$31.63 ,$11.12 ,$15.00 ,$18.57 ,$21.08 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Cleveland County,NC,37045,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$12.97 ,$27.15 ,$33.84 ,$43.13 ,$21.81 ,$25.90 ,$29.54 ,$31.17 ,$10.91 ,$14.97 ,$18.82 ,$21.65 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Columbus County,NC,37047,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.20 ,$27.07 ,$33.71 ,$43.09 ,$21.60 ,$25.89 ,$29.53 ,$31.31 ,$10.80 ,$14.93 ,$18.75 ,$21.63 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Craven County,NC,37049,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$14.46 ,$30.13 ,$37.96 ,$49.38 ,$22.96 ,$27.74 ,$31.38 ,$34.00 ,$11.48 ,$16.46 ,$20.87 ,$24.78 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Cumberland County,NC,37051,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$14.58 ,$29.42 ,$37.08 ,$48.28 ,$22.98 ,$27.20 ,$30.84 ,$33.41 ,$11.49 ,$16.11 ,$20.44 ,$24.23 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Currituck County,NC,37053,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$16.25 ,$30.54 ,$37.30 ,$48.55 ,$24.68 ,$29.23 ,$32.87 ,$36.39 ,$12.34 ,$16.67 ,$20.55 ,$24.36 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Dare County,NC,37055,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$15.05 ,$30.28 ,$38.22 ,$50.13 ,$23.47 ,$27.80 ,$31.44 ,$34.45 ,$11.74 ,$16.54 ,$21.00 ,$25.15 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Davidson County,NC,37057,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.52 ,$28.72 ,$36.83 ,$48.02 ,$21.93 ,$26.06 ,$29.70 ,$31.81 ,$10.97 ,$15.76 ,$20.31 ,$24.10 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Davie County,NC,37059,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.58 ,$28.11 ,$35.12 ,$45.17 ,$22.23 ,$26.55 ,$30.19 ,$32.26 ,$11.11 ,$15.45 ,$19.46 ,$22.67 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Duplin County,NC,37061,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.05 ,$26.91 ,$33.39 ,$42.24 ,$21.45 ,$25.89 ,$29.53 ,$30.94 ,$10.73 ,$14.86 ,$18.59 ,$21.21 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Durham County,NC,37063,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$16.02 ,$33.04 ,$42.65 ,$56.07 ,$24.51 ,$28.88 ,$32.52 ,$35.37 ,$12.25 ,$17.92 ,$23.22 ,$28.12 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Edgecombe County,NC,37065,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.49 ,$28.08 ,$35.14 ,$45.22 ,$21.91 ,$26.48 ,$30.12 ,$32.18 ,$10.95 ,$15.44 ,$19.46 ,$22.70 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Forsyth County,NC,37067,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.58 ,$29.02 ,$36.95 ,$47.91 ,$22.23 ,$26.55 ,$30.19 ,$32.26 ,$11.11 ,$15.91 ,$20.37 ,$24.04 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Franklin County,NC,37069,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$16.32 ,$31.19 ,$38.41 ,$49.05 ,$25.14 ,$29.42 ,$33.06 ,$35.52 ,$12.57 ,$16.99 ,$21.10 ,$24.61 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Gaston County,NC,37071,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$15.93 ,$31.13 ,$39.01 ,$50.60 ,$24.51 ,$28.70 ,$32.34 ,$35.10 ,$12.25 ,$16.97 ,$21.40 ,$25.39 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Gates County,NC,37073,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.61 ,$27.05 ,$33.47 ,$43.24 ,$22.02 ,$26.07 ,$29.71 ,$32.10 ,$11.01 ,$14.92 ,$18.63 ,$21.71 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Graham County,NC,37075,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.43 ,$27.05 ,$33.67 ,$42.60 ,$21.84 ,$25.89 ,$29.53 ,$30.88 ,$10.92 ,$14.93 ,$18.73 ,$21.39 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Granville County,NC,37077,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.84 ,$28.87 ,$36.24 ,$46.19 ,$22.26 ,$26.94 ,$30.58 ,$32.20 ,$11.13 ,$15.83 ,$20.01 ,$23.18 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Greene County,NC,37079,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.05 ,$26.76 ,$33.08 ,$41.72 ,$21.45 ,$25.89 ,$29.53 ,$30.88 ,$10.73 ,$14.78 ,$18.44 ,$20.95 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Guilford County,NC,37081,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$14.34 ,$29.27 ,$36.89 ,$47.64 ,$23.03 ,$27.09 ,$30.73 ,$32.88 ,$11.51 ,$16.03 ,$20.34 ,$23.91 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Halifax County,NC,37083,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.40 ,$27.60 ,$34.41 ,$44.00 ,$21.81 ,$26.24 ,$29.88 ,$31.70 ,$10.90 ,$15.20 ,$19.10 ,$22.09 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Harnett County,NC,37085,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.66 ,$29.01 ,$36.76 ,$47.85 ,$22.08 ,$26.71 ,$30.35 ,$32.72 ,$11.04 ,$15.90 ,$20.27 ,$24.01 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Haywood County,NC,37087,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$14.10 ,$28.82 ,$35.43 ,$44.96 ,$23.59 ,$27.66 ,$31.30 ,$33.26 ,$11.79 ,$15.81 ,$19.61 ,$22.57 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Henderson County,NC,37089,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$16.88 ,$32.64 ,$40.65 ,$53.11 ,$25.31 ,$30.08 ,$33.72 ,$37.21 ,$12.65 ,$17.72 ,$22.22 ,$26.64 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Hertford County,NC,37091,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.45 ,$27.35 ,$33.73 ,$42.79 ,$21.86 ,$26.42 ,$30.06 ,$31.77 ,$10.93 ,$15.07 ,$18.76 ,$21.48 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
Hoke County,NC,37093,$6.13 ,$8.29 ,$10.44 ,$12.60 ,$8.29 ,$10.44 ,$12.60 ,$14.75 ,$4.14 ,$5.22 ,$6.30 ,$7.38 ,$13.78 ,$28.15 ,$35.50 ,$46.27 ,$22.34 ,$26.25 ,$29.89 ,$32.35 ,$11.17 ,$15.47 ,$19.64 ,$23.22 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 
